T000000001	UA858	2013-12-25	2013-12-26	E	51	388
T000000002	UA858	2013-12-25	2013-12-26	F	66	473
T000000003	UA858	2013-12-25	2013-12-26	B	115	458
T000000004	UA858	2013-12-26	2013-12-27	E	18	469
T000000005	UA858	2013-12-26	2013-12-27	F	196	554
T000000006	UA858	2013-12-26	2013-12-27	B	139	539
T000000007	UA858	2013-12-27	2013-12-28	E	44	540
T000000008	UA858	2013-12-27	2013-12-28	F	164	625
T000000009	UA858	2013-12-27	2013-12-28	B	118	610
T000000010	UA858	2013-12-28	2013-12-29	E	137	354
T000000011	UA858	2013-12-28	2013-12-29	F	31	439
T000000012	UA858	2013-12-28	2013-12-29	B	180	424
T000000013	UA858	2013-12-29	2013-12-30	E	53	425
T000000014	UA858	2013-12-29	2013-12-30	F	16	510
T000000015	UA858	2013-12-29	2013-12-30	B	46	495
T000000016	UA858	2013-12-30	2013-12-31	E	182	481
T000000017	UA858	2013-12-30	2013-12-31	F	125	566
T000000018	UA858	2013-12-30	2013-12-31	B	97	551
T000000019	UA858	2013-12-31	2014-01-01	E	115	304
T000000020	UA858	2013-12-31	2014-01-01	F	41	389
T000000021	UA858	2013-12-31	2014-01-01	B	118	374
T000000022	UA858	2014-01-01	2014-01-02	E	53	415
T000000023	UA858	2014-01-01	2014-01-02	F	48	500
T000000024	UA858	2014-01-01	2014-01-02	B	32	485
T000000025	UA858	2014-01-02	2014-01-03	E	108	438
T000000026	UA858	2014-01-02	2014-01-03	F	96	523
T000000027	UA858	2014-01-02	2014-01-03	B	138	508
T000000028	UA858	2014-01-03	2014-01-04	E	17	443
T000000029	UA858	2014-01-03	2014-01-04	F	191	528
T000000030	UA858	2014-01-03	2014-01-04	B	135	513
T000000031	UA858	2014-01-04	2014-01-05	E	114	379
T000000032	UA858	2014-01-04	2014-01-05	F	40	464
T000000033	UA858	2014-01-04	2014-01-05	B	200	449
T000000034	UA858	2014-01-05	2014-01-06	E	132	397
T000000035	UA858	2014-01-05	2014-01-06	F	53	482
T000000036	UA858	2014-01-05	2014-01-06	B	85	467
T000000037	UA858	2014-01-06	2014-01-07	E	54	399
T000000038	UA858	2014-01-06	2014-01-07	F	22	484
T000000039	UA858	2014-01-06	2014-01-07	B	105	469
T000000040	UA858	2014-01-07	2014-01-08	E	49	429
T000000041	UA858	2014-01-07	2014-01-08	F	161	514
T000000042	UA858	2014-01-07	2014-01-08	B	58	499
T000000043	UA858	2014-01-08	2014-01-09	E	62	386
T000000044	UA858	2014-01-08	2014-01-09	F	162	471
T000000045	UA858	2014-01-08	2014-01-09	B	17	456
T000000046	UA858	2014-01-09	2014-01-10	E	15	400
T000000047	UA858	2014-01-09	2014-01-10	F	185	485
T000000048	UA858	2014-01-09	2014-01-10	B	107	470
T000000049	UA858	2014-01-10	2014-01-11	E	68	422
T000000050	UA858	2014-01-10	2014-01-11	F	47	507
T000000051	UA858	2014-01-10	2014-01-11	B	84	492
T000000052	UA857	2013-12-25	2013-12-26	E	141	414
T000000053	UA857	2013-12-25	2013-12-26	F	31	499
T000000054	UA857	2013-12-25	2013-12-26	B	200	484
T000000055	UA857	2013-12-26	2013-12-27	E	199	313
T000000056	UA857	2013-12-26	2013-12-27	F	49	398
T000000057	UA857	2013-12-26	2013-12-27	B	33	383
T000000058	UA857	2013-12-27	2013-12-28	E	138	438
T000000059	UA857	2013-12-27	2013-12-28	F	39	523
T000000060	UA857	2013-12-27	2013-12-28	B	18	508
T000000061	UA857	2013-12-28	2013-12-29	E	78	364
T000000062	UA857	2013-12-28	2013-12-29	F	29	449
T000000063	UA857	2013-12-28	2013-12-29	B	127	434
